contamination,loss,avg_mse,avg_mae,avg_bias,n_experiments,max_mcse_bias,max_mcse_mse
0,pinball,0.013857078187837662,0.07971834540861433,0.001265655077959065,270,0.0023409604399764754,0.0020102394160208385
0,qhuber,0.03599962100203605,0.10340841456085584,0.035026435115059464,2160,0.0023996348388099433,0.002160457633631087
0,logcosh,4.1161187102406815,0.3952615708632108,0.33399935599065567,2160,0.002385329351431585,0.01942081932453673
0.05,pinball,0.020403375803710686,0.09405910550039905,0.009073112300816177,270,0.0029209609829722724,0.004162511873200161
0.05,qhuber,0.03461955102114784,0.11135809894984912,0.029532785198645627,2160,0.002972562055548949,0.004568048361261907
0.05,logcosh,4.251271507957474,0.43828006799431607,0.34809945282758165,2160,0.0029546626669629656,0.0401621605095422
0.1,pinball,0.03742415998803223,0.1205798374554316,0.021383122358507377,270,0.0037959526814790178,0.008360952700280852
0.1,qhuber,0.041647275788960464,0.1278805903380597,0.02819642268087203,2160,0.00391246022609667,0.009175474416226704
0.1,logcosh,4.404845644118588,0.482444548153478,0.3650563387937069,2160,0.0037015569848151105,0.05456705675840613
0.2,qhuber,0.1819971576547071,0.23805688503145933,0.05881349253944734,2160,0.006531618831407495,0.0369437940445552
0.2,pinball,0.22676225575717754,0.2579644494032009,0.07763260946448929,270,0.006378247377859203,0.03266390533461755
0.2,logcosh,4.842358373959143,0.6091393896278628,0.4163403878563943,2160,0.006436569598749999,0.07456197557225
