loss,k_param,c_param,n_experiments,avg_mse,avg_mae,avg_bias,avg_conv_rate,avg_mcse_bias,avg_mcse_mse,avg_mcse_conv
logcosh,NA,0.05,1080,27.362191607028812,1.7089891961278771,1.5722135397176356,1,0.0012473449955362973,0.016872520690241834,0
logcosh,NA,0.1,1080,6.522957805797715,0.9032534830932373,0.7656641818201871,1,0.001255082661347504,0.009160767425462032,0
logcosh,NA,0.3,1080,0.6728918258611508,0.35269052003531576,0.23490324727510195,1,0.0010879057269360401,0.003329827359051823,0
logcosh,NA,0.5,1080,0.2546826428157627,0.2407287428195843,0.1324980703917702,1,0.0010180105836712636,0.0023939215432921706,0
logcosh,NA,0.7,1080,0.15282098350326218,0.19615259018561215,0.09156760944608361,1,9.963366155823319e-4,0.0021063643680858672,0
logcosh,NA,1,1080,0.10580987686256847,0.1667698073621176,0.06393299285521836,1,9.940492420600889e-4,0.0019684094696367613,0
logcosh,NA,2,1080,0.08025782074486036,0.1427057567874917,0.03830386060425288,1,0.0010210554691138917,0.001938005523136109,0
logcosh,NA,10,1080,0.07757590993764113,0.13896105686649957,0.027907568826427302,1,0.0010781603778249483,0.002014933831221711,0
pinball,NA,NA,1080,0.07461171743418953,0.13808043444191148,0.027338624800442978,1,0.0010924944660502495,0.001914185772453799,0
qhuber,0.05,NA,1080,0.07738722455129102,0.13985317783079645,0.026697571139518348,1,0.0010953527529376063,0.0020099252547275885,0
qhuber,0.1,NA,1080,0.07607945917971358,0.13864767339410694,0.025907086538462586,1,0.0010912728712975386,0.002002243442566205,0
qhuber,0.2,NA,1080,0.07411386107633722,0.1370990713233774,0.02528785855129494,1,0.001085745562259936,0.0019658294676343003,0
qhuber,0.5,NA,1080,0.0693376046735018,0.13526201746166203,0.02565421849530589,1,0.0010656070764730342,0.001874978094333407,0
qhuber,1,NA,1080,0.06451911960594821,0.1365207624760438,0.02965351784994698,1,0.0010402641763981985,0.001723769570472564,0
qhuber,2,NA,1080,0.06358584484070896,0.14447209259745034,0.0417335630041411,1,9.989788004254767e-4,0.0015023742292483515,0
qhuber,3,NA,1080,0.06735819646945637,0.1519601622701494,0.05156930314178697,1,9.750387596228756e-4,0.0013523759881641808,0
qhuber,10,NA,1080,0.09614590053674572,0.17759302040686165,0.0766351523475921,1,9.282147814427225e-4,8.547065846924374e-4,0
